AGE,FREQUENCY,,
0,1762,,6629.00
1,547,,
2,538,,
3,472,,
4,547,,
5,520,,
6,487,,
7,448,,
8,434,,
9,457,,
10,417,,
11,446,,14953.00
12,425,,
13,507,,
14,564,,
15,649,,
16,1013,,
17,1725,,
18,2663,,
19,3381,,
20,3580,,
21,3904,,43848.00
22,4041,,
23,4391,,
24,4397,,
25,4677,,
26,4648,,
27,4592,,
28,4591,,
29,4441,,
30,4166,,
31,4113,,33593.00
32,3890,,
33,3760,,
34,3430,,
35,3330,,
36,3188,,
37,2967,,
38,2930,,
39,3060,,
40,2925,,
41,2863,,24355.00
42,2669,,
43,2503,,
44,2454,,
45,2372,,
46,2282,,
47,2186,,
48,2259,,
49,2379,,
50,2388,,
51,2273,,20101.00
52,2127,,
53,2073,,
54,2067,,
55,2087,,
56,2033,,
57,1943,,
58,1913,,
59,1808,,
60,1777,,
61,1716,,12087.00
62,1516,,
63,1472,,
64,1360,,
65,1310,,
66,1157,,
67,1050,,
68,884,,
69,834,,
70,788,,
71,714,,4415.00
72,644,,
73,584,,
74,502,,
75,418,,
76,384,,
77,333,,
78,334,,
79,266,,
80,236,,
81,222,,1147.00
82,178,,
83,164,,
84,121,,
85,120,,
86,100,,
87,91,,
88,60,,
89,43,,
90,48,,
91,25,,102.00
92,25,,
93,14,,
94,13,,
95,7,,
96,3,,
97,2,,
98,5,,
99,4,,
100,4,,
101,4,,
102,1,,
103,4,,
105,2,,
108,2,,
110,1,,
