ZIPCODE,FREQUENCY
60629,5702
60639,4850
60620,4678
60623,4204
60619,4166
60617,4165
60651,3885
60628,3801
60632,3616
60609,3149
60644,2897
60634,2885
60641,2829
60649,2685
60608,2597
60647,2578
60618,2571
60624,2552
60636,2468
60637,2421
60643,2414
60625,2412
60653,1966
60652,1935
60621,1904
60630,1809
60612,1808
60645,1739
60616,1708
60659,1704
60640,1701
60638,1666
60804,1657
60626,1633
60615,1494
60622,1299
60660,1250
60707,1212
60613,1045
60614,1030
60657,939
60402,922
60827,822
60453,819
60610,800
60656,777
60409,769
60646,716
60655,676
60607,628
60631,610
60153,545
60419,539
60076,487
60411,483
60202,473
60706,472
60642,463
60016,458
60605,453
60459,448
60805,447
60406,437
60473,413
60077,408
60104,381
60611,380
60426,367
60302,355
60633,345
60803,338
60438,300
60478,292
60201,277
60714,275
60068,272
60661,265
60440,258
60712,249
60443,247
60654,245
60160,240
60056,232
60131,224
60429,220
60025,216
60053,214
60501,210
60601,203
60466,202
60171,201
60428,198
60148,197
60164,193
60176,193
60458,190
60415,190
60018,188
60452,185
60455,183
60101,181
60477,180
60446,178
60130,178
46312,176
60462,175
60304,165
60085,158
60430,153
60133,148
60107,148
60525,146
60471,146
60139,143
60155,141
60074,140
60465,140
60445,140
60527,139
60517,139
60154,137
60586,136
60126,134
60090,133
60435,132
46324,131
60169,131
60181,128
60062,128
60188,127
60106,126
60504,126
60457,122
60004,121
46410,121
60005,120
60120,119
60007,119
60506,118
60089,118
60487,117
60534,117
60425,116
60513,113
60123,112
60115,111
60505,111
60073,110
46394,108
46323,107
60680,107
60546,106
60193,106
60467,105
60482,103
60564,103
60563,103
60035,101
60423,101
60103,101
46320,99
60091,99
60137,99
60602,97
60561,96
60110,91
46307,90
60422,90
60162,90
60490,88
60191,86
60431,84
60540,84
60565,83
60047,83
60417,83
60067,83
60472,82
60559,82
60439,81
60008,81
60305,81
60901,81
60172,78
60544,77
60060,77
60484,75
60015,74
60418,74
46404,73
60185,72
60543,71
60456,71
60031,71
46319,71
60448,70
60163,69
60515,68
46327,68
60441,66
60606,64
60108,63
60433,63
60099,63
60532,63
60516,62
60194,61
60010,61
46368,60
46375,60
46322,59
60451,58
46321,58
60064,58
60061,58
60173,58
60491,58
60538,57
60463,56
60070,56
60461,56
60189,56
60102,54
60093,54
60046,53
60469,53
60914,53
60014,52
60192,52
60464,52
60432,52
60403,52
60585,52
46342,51
60521,50
60526,49
60087,48
60026,47
60156,47
46311,46
60045,46
60030,45
60143,45
60165,44
60502,44
60475,43
60560,42
46403,42
60436,42
60523,42
60604,42
46409,41
60098,40
60187,40
61832,40
60627,40
46408,40
60177,39
61820,39
60404,39
46407,38
60142,38
61761,38
61701,38
46406,37
46360,36
60301,36
61108,36
60449,36
60174,35
60510,35
60503,34
60124,34
46385,34
61008,33
61102,33
60558,32
60203,31
53511,30
60603,30
60140,29
60514,29
60134,29
60195,28
60542,27
61821,27
60002,27
46383,27
60044,27
61822,26
60050,26
60013,26
61801,26
60048,26
60175,26
60545,26
60450,25
52001,25
60022,25
46303,24
61101,23
62901,23
60118,23
46373,23
46402,23
60136,22
60069,22
53704,22
60083,22
62703,22
60447,21
60480,21
60476,21
53142,21
60084,21
60410,21
60915,21
60555,21
46405,21
60635,20
46304,20
60051,20
60020,19
61704,18
60152,18
60178,18
UNK,17
61109,17
60442,17
47905,17
46350,17
62704,17
52404,17
61103,16
53147,16
60401,16
61604,16
53215,16
61107,16
49085,15
61201,15
60042,15
52240,15
61301,15
61802,15
60416,15
53143,14
61244,14
46516,14
61104,14
47906,14
53209,14
52246,14
62702,14
61265,14
